Season,Episode,Character,Line
16,7,Mr. Garrison,and so what we start to see now is a pattern in world history much like the greeks and the romans remember that there were seven families fighting for control of the land of westeroth the king of westeroth was who robert baratheon  and he asked eddard also known as of course lord stark to serve as hand of the king you remember that lord stark accepted or course the queens family  thats the lannisters  were really trying back then to take control werent they but where were the targaryens at this time well they were across the sea we all talked about how they were also trying to take the throne so weve got the greeks the romans the starks lannisters baratheons targaryens all headed for a big blowout right in season 2 now what i really wanted to get into today is what was going on in the north because thats just a whole other mess
18,2,Sharon,i can get both of these yeah
9,5,Sharon,randy sit down
2,18,Kenny,oh no
16,7,Kenny,yeah whats her name
6,4,Cartman,okay all set
6,15,Chef,hi momma
11,9,Sharon,for the love of god
10,1,Cartman,im gonna miss him  im gonna miss chef and iand i dont know how to tell him
18,9,Stan,tell me about it
2,9,Chef,well uhi kinda hope not  i mean sure it does  here ill give him one of my salty balls to take with him to poo heaven  come on lets go
11,1,Randy,uh well uh
4,4,Mr. Garrison,—you need to work on your study skills
9,12,Stan,yes
10,6,Stan,goddamnit hes soo heavy
3,1,Mr. Mackey,well guess what boys i think that getting gay with kids is just what you need im gonna sign up all four of you
2,12,Sharon,well it looks like our little stanley has built himself quite a clubhouse here
2,2,Cartman,ugh man this is fuckin weak
8,9,Chef,they why dont you just quit
10,3,Randy,a cartoon a cartoon is about to air on american television with with the muslim prophet mohammad as a character
4,1,Kyle,fatass
3,10,Kyle,yeah you know like lauren hill aight
13,1,Kyle,you want tammy to give you a bj
1,8,Chef,yeah well lets get it over with this place gives me the booboojeebees
15,10,Mr. Mackey,were alone now what the hell are we gonna do
2,16,Kenny,okay
2,13,Cartman,take this jennifer love hewitt
5,7,Mr. Garrison,wha why did you pan to me just now what the hell is that sposed to mean
13,7,Butters,oh hehe says theyre in there
4,9,Chef,oh ohh hello eric
14,8,Kenny,no nascar fans arent stupid cartman is
17,10,Mr. Mackey,thats right in fact im gonna call the jelly school right now okay  im sorry about this but its gone too far ive had it hello is this the jelly school  okay i have a girl here whos extremely jelly uh see if you can take her in for a few weeks okay youre full okay yeah i guess she dodged a bullet this time but shed better watch her jelly behavior
12,10,Sharon,to be honest mrs tucker we think craig is bad influence on our boys
5,7,Mr. Mackey,yes
16,4,Cartman,well i better be going thanks so much ms broflovski i learned a ton
2,4,Mr. Mackey,are you boys stayin out of trouble
7,14,Kyle,come on stan were gonna play dodgeball
1,2,Chef,well three times bigger than frank giffords anyway
12,11,Mr. Garrison,guinea rats
13,4,Mr. Mackey,they have power and they have courage
5,10,Kenny,youve ever done
2,4,Kyle,ooh who the hell cares hes not even my responsibility
16,6,Kyle,stop
13,13,Mr. Mackey,eric the student body president really doesnt have the kind of power that you
6,15,Chef,hi pop
14,14,Randy,who says that school cafeteria food cant be healthy delicious and gourmet today were gonna be making the students my tasty baked ziti with basil and fresh  mozzarella its all right here right now on cafeteria fraîche
12,9,Mr. Mackey,welcome to detention mkay you are here until your parents come and pick you up use your time to study
4,7,Kenny,well now that does it i have had enough of this bullshit screw you stan im going home
2,7,Mr. Mackey,well 99 of the time when a child is missing its because theyve run away mkay
10,13,Cartman,yeah well you can go fuck yourself
13,14,Stan,after this you guys wanna hit the hurricane slides
8,3,Cartman,eup
7,9,Kyle,judas priest  wow downloading music for free is awesome
4,8,Chef,from now on my name is  abdul mohammed jabar  rauf kareem ali  with everyone in town so insensitive about the flag i find it no longer fitting to use my slave name
13,12,Cartman,excuse me excuse me hey assholes  you guys know that everyone thinks youre total fags right
13,8,Kenny,holy shit dude
6,7,Chef,nowww children every problem can be worked out what was it
3,14,Cartman,i knew they would
13,8,Kyle,hey heeey
9,13,Stan,i wonder if hell ever come back and visit us
3,17,Mr. Mackey,well dont you want to see them
2,8,Chef,hey children everybody im back im back from aruba what the
3,5,Mr. Garrison,what how dare you say that
14,8,Kenny,stop this car right now
7,11,Kyle,sorry my minds made up
4,10,Mr. Mackey,mkay the god of jacob is our refuge mkay
17,3,Cartman,oh man
1,13,Chef,oooohhohohoh hohohohoh thats different women dont get pregnant from tonguekissing children
3,4,Cartman,hey maybe
18,5,Cartman,oh shit its your dad go go go  ill see you later at my house
9,2,Cartman,i dont want you to worry about me clyde frog  hey youre the best stuffed animal ive ever had
4,16,Stan,well they cant be too pissed off i mean we made them a banner
17,2,Randy,oh come on you cant block your parents from watching informative murder porn what you you think if we watch shows about married people killing each other all the time were gonna go out and do it thats stupid  im not gonna go out and kill your mom just because i watch investigate discovery stan itd be impossible to clear away all the dna evidence anyway even if i hired someone else to kill her id have to kill that person too because 96 of the time that person eventually tells the truth i thought this through a lot  stan  youre a lousy kid i wish jaden smith was my son
14,5,Mr. Garrison,hold on a second
5,12,Kenny,ow
8,6,Randy,stan time to get up for school  stan what the  mr jefferson
3,13,Butters,hey isnt that the homeschooled kids sister
18,10,Cartman,i can hear you douchebag
14,10,Randy,aw come on thats stupid hows that hows that even possible
1,6,Stan,no grampa ill get in trouble
2,15,Randy,sharon
14,8,Cartman,oh right someone like me can be a nascar driver  look at me  do you really think someone like this can ever become an awesome famous nascar driver
6,4,Cartman,we had a deal do you think im stupid dont treat me like im stupid here
4,7,Mr. Mackey,well there you go mkay
2,13,Cartman,five dollars jesus christ
17,2,Kyle,can we talk to your supervisor please
17,10,Mr. Garrison,okay kids there have been some hurtful and hateful things being said around this school and so we are gonna hear from a guest speaker here to explain why kim kardashian is not a hobbit please welcome aquaman
3,16,Sharon,stanley  wake up honey its time to leave for las vegas
4,7,Mr. Garrison,what the hell are you talkin about
7,9,Cartman,i think thats what the whole world needs praise christ
14,8,Butters,i know that pisses me off thats fuckin gay
12,12,Mr. Garrison,whoa jesus its already happening societys breaking down
15,11,Randy,hey do you uh do you want some alcohol or somethin sharon
12,7,Kyle,whats that
1,10,Chef,oh ooh
3,1,Mr. Mackey,i am tired of seeing you in my office young man  you get sent here every day craig
8,7,Sharon,you know a racist but against people from the
8,4,Randy,uh listen uh it was my fault that stanley served your boys the other day uh i told him to do it and i we well look i i just came down here to tell you it  it its not on
6,13,Stan,how shall we journey to the house of butters through the mines of endor or over the mountains of grog
2,14,Kyle,we are raising money so that chef can hire johnnie cochran to sue you
1,10,Cartman,cartmans birthday
4,12,Mr. Mackey,we dont like to talk about it
10,4,Kyle,thanks kid
3,17,Mr. Garrison,he never did mom not once
1,6,Sharon,oh alright but take your grampy with you
18,8,Kenny,yeah i guess i just wonder about mcnuggets
7,8,Mr. Garrison,thanks come slave  oh its just awful chef i used to feel like an outsider a totally different person who stood out in this town now every straight guy is acting gayer than me
13,1,Kenny,what about her
16,11,Kenny,"to wit i have found nothing wrong with this remote place and i must admit it will be with some melancholy that i will leave this island and return home
i saw this chick in a bikini on the beach too she had the nicest boobs ever
humbly yours kenneth"
1,1,Mr. Garrison,i dont know kyle did you ask mr hat
9,2,Cartman,i dont want you to worry about me clyde frog  hey youre the best stuffed animal ive ever had
15,7,Randy,it doesnt sound like crap at all i think its awesome
12,2,Kyle,shes been built up to be sacrificed stan
1,1,Stan,visitors
7,4,Stan,okay so thomas jefferson wrote the declaration of independence then the continental congress
3,2,Randy,hey
16,12,Stan,i know but theres nothing i can do
14,10,Sharon,what next dream level
15,7,Randy,you dont get it sharon you never have and thats supposed to be my fault
9,5,Kyle,this is it stan if you strike this kid out we all get to go home
4,17,Kyle,and ill stand
4,8,Chef,from now on my name is  abdul mohammed jabar  rauf kareem ali  with everyone in town so insensitive about the flag i find it no longer fitting to use my slave name
8,9,Randy,the screwdriver set is only nine ninetyeight
18,9,Sharon,you were told to walk out in front of a hundred thousand people including little girls who look up to you and start rubbing your clit
9,12,Sharon,stanley you havent touched your food whats the matter with you
3,8,Sharon,oh mr mackey you nut
3,8,Mr. Mackey,here it is i just had the hot tub put in last week
10,3,Kyle,dad dad jesus christ
9,8,Mr. Mackey,so does does this mean the storm is past global warmings over
3,12,Kenny,mine is so fuckin badass its gotta win now
2,11,Mr. Mackey,the machine is aaaah uh thats probably bad
4,2,Kenny,no nono no dont do this nononooo
8,9,Kyle,why the hell would you want three copies of the same movie
10,6,Kenny,what are we gonna do
2,16,Sharon,i just cant believe he would go without our permission
14,1,Butters,me i just well i just cant stop thinking about bush
3,12,Kyle,i dont think my mom would want me doin this
10,8,Randy,stan
8,12,Butters,well no not quite
12,9,Cartman,oho really what are you gonna do about it wendy
5,5,Kyle,eh its terrance and phillip behind the blow i taped it last month
7,3,Cartman,im afraid i cant let that happen
4,3,Kyle,lets go practice
9,11,Cartman,"no he was just telling me about something funny that happened at school yesterday um oh but anyway ohhh oh wow i cant believe how great it feels to finally love my fellow man huh isnt this great you guys we sure have been throgh a lot but in the end we all learned its best to get along
hand in hand we can live together ginger or not were all the same
black or white brown or red we shouldnt kill each other cause its lame come on guys
hand in hand we can live together"
